label,logr_classes,logr_distances,gini_classes,gini_distances,permutation_classes,permutation_distances,shap_classes,shap_distances
knee-hold-remi-sit,"['knee-hold-remi-sit', 'chair-seated', 'fireman-half-pike', 'knee-hold-genie']","[7.852965232494812e-15, 4.456870564154117e-14, 5.714296065821252e-14, 4.618309108792104e-14]","['knee-hold-remi-sit', 'crossed-knee-release', 'outside-knee-hook-inverted', 'knee-hold-genie']","[5.219844640724347, 16.656634818305974, 9.135509723170575, 21.923660749241016]","['knee-hold-remi-sit', 'fireman-seat', 'knee-hold-genie', 'chair-seated']","[33.433519711139255, 164.41594976314818, 140.57064835282446, 181.5995364999193]","['knee-hold-remi-sit', 'knee-hold-genie', 'crossed-knee-release', 'fireman-seat']","[9.812819972173369, 41.60264615488011, 15.17316399691001, 40.618658425978474]"
fireman-half-pike,"['fireman-half-pike', 'strong-hold-inverted-tuck', 'knee-hold-marley', 'knee-hold-remi-sit-release']","[3.0372094389938126e-14, 4.281065259998443e-14, 2.6677841914301862e-14, 3.407606789773536e-14]","['fireman-half-pike', 'knee-hold-remi-sit-release', 'strong-hold-corkscrew', 'split-grip-tucked-spin']","[2.5510727035389316, 17.368157951132556, 7.242197744349985, 8.786779241000536]","['fireman-half-pike', 'strong-hold-inverted-tuck', 'split-grip-tucked-spin', 'knee-hold-marley']","[85.47916090308534, 178.03011556130596, 134.60576009422832, 173.04517988439753]","['fireman-half-pike', 'elbow-grip-seated', 'fireman-seat', 'knee-hold-remi-sit-release']","[10.809019540090544, 45.71341636316453, 39.174624666924515, 55.03776529324174]"
split-grip-pencil,"['split-grip-pencil', 'iguana-grip-pencil', 'split-grip-apprentice', 'split-grip-inverted-d']","[6.07626561060151e-14, 2.4292555100658236e-14, 3.181607740973883e-14, 3.2212771801841386e-14]","['split-grip-pencil', 'iguana-grip-pencil', 'one-hand-pencil', 'reverse-grab-pencil']","[21.719933213621424, 12.20259100833876, 11.969143544886947, 11.131214870157063]","['split-grip-pencil', 'iguana-grip-pencil', 'one-hand-pencil', 'split-grip-inverted-d']","[176.31592273900807, 71.22709831183798, 95.82734206705757, 85.61353807654558]","['split-grip-pencil', 'iguana-grip-pencil', 'reverse-grab-pencil', 'handstand-forearm-pencil']","[43.58274860388868, 19.005056215797197, 20.70933507803711, 24.083034311122276]"
split-grip-pancake-split,"['split-grip-pancake-split', 'cross-grip-straddle', 'strong-hold-straddle', 'knee-hold-marley-release']","[5.4208921246520234e-14, 4.972817271257456e-14, 3.253781121909731e-16, 2.2281466286653703e-14]","['split-grip-pancake-split', 'twisted-grip-inverted-straddle', 'split-grip-inverted-butterfly-extended', 'iguana-grip-inverted-v']","[22.46645645830682, 20.880997140552463, 15.920532663607979, 13.355467192635052]","['split-grip-pancake-split', 'split-grip-inverted-butterfly-extended', 'cross-grip-straddle', 'strong-hold-straddle']","[162.95235732367755, 146.87640222779655, 76.58110055434553, 127.03903831508494]","['split-grip-pancake-split', 'strong-hold-straddle', 'split-grip-inverted-butterfly-extended', 'twisted-grip-inverted-straddle']","[41.92910820115974, 34.35199081621636, 21.079488698142107, 8.92864101103039]"
thigh-hold-dragon-fly,"['thigh-hold-dragon-fly', 'armpit-hold-dart', 'handstand-bridged', 'superman-armpit-grip']","[5.168820585909298e-14, 2.041382050214474e-14, 3.713907917370286e-14, 3.052990757624104e-14]","['thigh-hold-dragon-fly', 'armpit-hold-dart', 'stomach-hold-vertical-duchess', 'handstand-bridged']","[21.402092723808245, 9.11781750017676, 15.082767584886776, 6.86909098263718]","['thigh-hold-dragon-fly', 'armpit-hold-dart', 'handstand-bridged', 'strong-hold-inverted-split']","[144.08232605039993, 66.76485218938821, 87.3399557808073, 122.34520611923546]","['thigh-hold-dragon-fly', 'forearm-grip-side-spin', 'superman-scissors', 'armpit-hold-dart']","[31.124945239798965, 11.296305214841206, 10.380667638861697, 24.855780619345865]"
split-grip-inverted-pencil,"['split-grip-inverted-pencil', 'chair-pike', 'strong-hold-straddle', 'shoulder-mount-jack-knife']","[5.71067974078587e-14, 4.3666226565084956e-14, 1.7920840581614178e-14, 3.4403373325361587e-14]","['split-grip-inverted-pencil', 'thigh-hold-crescent-moon', 'knee-hold-cupid', 'shoulder-mount-plank']","[19.475796164860558, 15.909618263385903, 5.444907715739058, 14.02049139307947]","['split-grip-inverted-pencil', 'reverse-grab-pencil', 'baseball-back-support-grip-foward-pike', 'shoulder-mount-jack-knife']","[177.08696829594996, 159.78553775760548, 59.319351421212566, 151.32093872030433]","['split-grip-inverted-pencil', 'thigh-hold-crescent-moon', 'superman', 'thigh-hold-release']","[40.8032412105651, 38.47674741752281, 25.043465441212618, 12.707156644898555]"
one-hand-twisted-lateral-spin,"['one-hand-twisted-lateral-spin', 'elbow-grip-pencil', 'superman-armpit-grip', 'leg-hold-crucifix']","[4.3018092687219307e-14, 2.0369546612075547e-14, 2.417588415702466e-14, 1.1890073519314631e-14]","['one-hand-twisted-lateral-spin', 'elbow-grip-pencil', 'stomach-hold-inverted-pike', 'flag-grip-pencil']","[13.933023753296341, 11.656600592898576, 8.10331150125302, 7.8652899810982815]","['one-hand-twisted-lateral-spin', 'elbow-grip-pencil', 'leg-hold-crucifix', 'flag-grip-pencil']","[122.79206858262819, 84.35671700889151, 73.76353822811107, 136.6559828487491]","['one-hand-twisted-lateral-spin', 'elbow-grip-pencil', 'handstand-onehand', 'leg-hold-crucifix']","[25.842437968283274, 20.92226445116602, 20.55433359087753, 5.7855811500278955]"
elbow-grip-butterfly,"['elbow-grip-butterfly', 'handstand-bridged', 'baseball-back-support-grip-tuck', 'leg-hang-scorpion-hold']","[3.420057325145781e-14, 3.1748460066815954e-14, 1.908654697992373e-14, 3.174394099675419e-14]","['elbow-grip-butterfly', 'elbow-grip-fang', 'forearm-grip-side-spin', 'fang-bracket-grip']","[11.55925899437331, 9.883207216615048, 12.19480997902421, 10.414189155638002]","['elbow-grip-butterfly', 'thigh-hold-dragon-fly', 'handstand-bridged', 'forearm-grip-side-spin']","[111.72821147978104, 79.58511703517858, 91.9512994496591, 48.02971198939932]","['elbow-grip-butterfly', 'forearm-grip-side-spin', 'shoulder-mount', 'thigh-hold-dragon-fly']","[27.136043878309554, 18.14493558786609, 20.06240652102584, 30.668450128940385]"
shoulder-mount-tuck,"['shoulder-mount-tuck', 'stomach-hold-inverted-tuck', 'baseball-back-support-grip-tuck', 'shoulder-mount-attitude']","[2.802384915985483e-14, 5.160305830997617e-14, 3.9066857132152146e-14, 1.9571911230954106e-14]","['shoulder-mount-tuck', 'stomach-hold-inverted-tuck', 'baseball-back-support-grip-tuck', 'leg-hang-scorpion-hold']","[10.135659402548692, 18.537065451215344, 10.81983411697737, 21.28839876804698]","['shoulder-mount-tuck', 'baseball-back-support-grip-tuck', 'stomach-hold-inverted-tuck', 'handstand-forearm-fang']","[87.03051831623453, 157.05302710440404, 136.27293788693945, 69.02170569605174]","['shoulder-mount-tuck', 'baseball-back-support-grip-tuck', 'fireman-knee-hold', 'stomach-hold-inverted-tuck']","[15.317201924956093, 38.31733567179875, 33.59924056231799, 24.332157822087584]"
fireman-hollywood,"['fireman-hollywood', 'forearm-grip-pencil', 'pole-walk', 'knee-hook-front']","[3.4250155171409936e-14, 4.183677691681503e-14, 2.9879972161368655e-14, 3.2108228201044236e-14]","['fireman-hollywood', 'pole-walk', 'split-grip-side-spin', 'reverse-grab-attitude']","[13.793982643666677, 16.93075670576011, 15.37156557013658, 12.567322254242235]","['fireman-hollywood', 'knee-hook-front', 'split-grip-inverted-fang', 'reverse-grab-fang']","[81.39437190664286, 106.15382343025222, 175.23879021809702, 143.66122984848283]","['fireman-hollywood', 'hook-knee-two-hands', 'split-grip-side-spin', 'split-grip-cupid']","[20.786272596170136, 27.02911260998466, 38.039046919526925, 17.006316145876536]"
strong-hold-fang,"['strong-hold-fang', 'leg-hang-scorpion-flatliner', 'armpit-hold-dart', 'leg-hang-needle']","[3.657449019104849e-14, 2.734179052774526e-14, 2.719331077480164e-14, 2.213115897613502e-14]","['strong-hold-fang', 'leg-hang-scorpion-flatliner', 'split-grip-backward-split', 'iguana-grip-bow-and-arrow']","[16.92493194317202, 10.412845780535125, 11.657531101735367, 10.666901868655266]","['strong-hold-fang', 'leg-hang-needle', 'leg-hang-gemini-foot-hold', 'flag-grip-straddle']","[96.74112438917892, 78.18975013283209, 91.55361008541387, 60.10086380035819]","['strong-hold-fang', 'flag-grip-straddle', 'armpit-hold-scorpion', 'leg-hang-needle']","[25.62468683315435, 26.9042388332304, 30.521341060615292, 18.02422487549074]"
stomach-hold-front-split,"['stomach-hold-front-split', 'reverse-grab-fang', 'strong-hold-side-split', 'reverse-grab-straddle']","[5.1938117003188256e-14, 3.7264930937347e-14, 4.6397292106429735e-14, 2.030126670641705e-14]","['stomach-hold-front-split', 'back-hold-allergra-split', 'ankle-grip-bow-and-arrow', 'handstand-split']","[27.96657015854563, 15.181373601773876, 15.793077914298545, 16.454513485046853]","['stomach-hold-front-split', 'strong-hold-side-split', 'armpit-hold-front-split', 'chair-pike']","[181.75128830193412, 144.7137653534611, 208.05793555986475, 125.8219002245215]","['stomach-hold-front-split', 'back-hold-allergra-split', 'armpit-hold-front-split', 'ankle-grip-bow-and-arrow']","[51.09633833861429, 37.31732696944863, 24.866526325745188, 7.456705891256813]"
handstand-forearm-passe,"['handstand-forearm-passe', 'shoulder-mount-plank-passe-hold', 'armpit-hold-passe', 'shoulder-mount-kick']","[6.326439670249763e-14, 4.6690924033583025e-14, 5.339210512966326e-14, 1.8018644093242166e-14]","['handstand-forearm-passe', 'armpit-hold-front-split', 'ankle-grip-bow-and-arrow', 'stomach-hold-passe-spaceflight']","[30.079557874269003, 18.334687910515733, 24.6106993121191, 25.985746622359784]","['handstand-forearm-passe', 'armpit-hold-passe', 'shoulder-mount-plank-passe-hold', 'stomach-hold-passe-spaceflight']","[167.75683971377157, 109.88544348750746, 133.33981665621366, 135.2005886795083]","['handstand-forearm-passe', 'shoulder-mount-plank-passe-hold', 'armpit-hold-passe', 'back-hold-allergra']","[44.800546700785034, 25.86148686777675, 42.05874626282338, 35.10325502262949]"
split-grip-backward-split,"['split-grip-backward-split', 'split-grip-pancake-split', 'wrist-sit-straddle', 'crossed-knee-layback']","[6.133709828629329e-14, 4.708616549322615e-14, 1.5914424070534783e-14, 1.5752980480991095e-14]","['split-grip-backward-split', 'iguana-grip-bow-and-arrow', 'handstand-floor-handspring', 'split-grip-side-v']","[26.211037644732503, 16.856225856073234, 12.339190964039105, 10.323603241603918]","['split-grip-backward-split', 'handstand-floor-handspring', 'split-grip-pancake-split', 'strong-hold-inverted-straddle']","[161.16413209198328, 122.55168663295204, 75.00806444913405, 52.89153199216386]","['split-grip-backward-split', 'handstand-floor-handspring', 'armpit-hold-dart', 'handstand-split']","[41.646477601320825, 29.553396161815755, 17.44335307358257, 14.065759850130371]"
armpit-hold-dart,"['armpit-hold-dart', 'strong-hold-fang', 'iguana-grip-bow-and-arrow', 'split-grip-backward-split']","[3.7624617154367297e-14, 7.118485636470678e-15, 2.690345488884726e-14, 3.2275196569007254e-14]","['armpit-hold-dart', 'leg-hang-scorpion-flatliner', 'split-grip-backward-split', 'handstand-floor-handspring']","[18.799988338023496, 3.0063057305770977, 14.398208641967951, 14.893274151157032]","['armpit-hold-dart', 'leg-hang-scorpion', 'strong-hold-inverted-split', 'split-grip-backward-split']","[126.80576348952306, 59.645553621213516, 108.1984764023396, 107.81601196076765]","['armpit-hold-dart', 'strong-hold-inverted-straddle', 'strong-hold-inverted-split', 'leg-hang-scorpion-flatliner']","[34.08013771468087, 15.19587071982374, 21.230685314175965, 19.393553327888252]"
leg-hold-inverted-crucifix,"['leg-hold-inverted-crucifix', 'tuck-hold', 'iguana-grip-pixie', 'split-grip-inverted-butterfly']","[3.571514008305762e-14, 5.440066925013287e-14, 2.25699166967213e-14, 3.464727199644153e-14]","['leg-hold-inverted-crucifix', 'outside-knee-hook-jasmine', 'handstand-forearm-fang', 'shoulder-mount-tuck']","[12.519013149373128, 15.411684832164235, 12.930823904717602, 16.81094350741703]","['leg-hold-inverted-crucifix', 'tuck-hold', 'outside-knee-hook-jasmine', 'shoulder-mount-tuck']","[118.60341699510198, 140.03356903792087, 94.31500845624232, 119.90703655533602]","['leg-hold-inverted-crucifix', 'handstand-forearm-fang', 'elbow-grip-fang', 'fireman-knee-hold']","[15.026429540892376, 30.820054484484782, 29.082257394437054, 28.658097112074465]"
handstand-forearm-pencil,"['handstand-forearm-pencil', 'shoulder-mount-hangman', 'shoulder-mount-plank', 'baseball-back-support-grip-foward-pike']","[6.037932274068528e-14, 3.047603585801488e-14, 5.792165665716855e-14, 1.8668304037642126e-14]","['handstand-forearm-pencil', 'baseball-back-support-grip-foward-pike', 'shoulder-mount-plank', 'thigh-hold-crescent-moon']","[21.338910703155747, 10.51938582133641, 21.60544326155363, 4.500467734619214]","['handstand-forearm-pencil', 'shoulder-mount-plank', 'shoulder-mount-hangman', 'baseball-back-support-grip-foward-pike']","[180.36129524492875, 89.50935037485844, 115.87186843769436, 49.44388357940205]","['handstand-forearm-pencil', 'iguana-grip-pencil', 'shoulder-mount-plank', 'shoulder-mount-kick']","[42.73439835046362, 20.401486064982823, 34.02219116084402, 21.09611979917518]"
stomach-hold-duchess-passe,"['stomach-hold-duchess-passe', 'knee-hook-front', 'iguana-grip-pixie', 'stomach-hold-vertical-duchess']","[4.286366830905075e-14, 4.1579114884428974e-14, 5.069017568847081e-14, 3.672303141357916e-14]","['stomach-hold-duchess-passe', 'stomach-hold-passe-spaceflight', 'handstand-forearm-passe', 'leg-hang-gemini-foot-hold']","[19.952392539981105, 13.664579279275436, 17.31785233889838, 14.782743785561426]","['stomach-hold-duchess-passe', 'iguana-grip-pixie', 'knee-hook-front', 'one-hand-twisted-spin-rght']","[182.466203582407, 100.1515902089046, 115.28412982584696, 89.9179260737054]","['stomach-hold-duchess-passe', 'stomach-hold-vertical-duchess', 'back-hold-allergra', 'armpit-hold-passe']","[42.430477247384154, 21.103212665668927, 34.73784636647243, 41.13288833051822]"
shoulder-mount,"['shoulder-mount', 'shoulder-mount-plank-passe-hold', 'shoulder-mount-hangman', 'handstand-forearm-bow-and-arrow']","[5.830630421633824e-14, 2.673756865616624e-14, 5.4145109082150534e-14, 2.667177030156343e-14]","['shoulder-mount', 'stomach-hold-vertical-duchess', 'armpit-hold-forward-pike', 'handstand-forearm-bow-and-arrow']","[24.34132240176693, 9.705346866265636, 20.660274462244914, 15.027907986409446]","['shoulder-mount', 'shoulder-mount-plank-passe-hold', 'armpit-hold-passe', 'handstand-bridged']","[152.2770166471174, 129.68973012237717, 160.7560743293026, 120.00831537733832]","['shoulder-mount', 'stomach-hold-vertical-duchess', 'shoulder-mount-plank-passe-hold', 'stomach-hold-duchess-passe']","[34.00171124155176, 28.729846396183746, 37.00987253838746, 18.113962762427068]"
shoulder-mount-plank,"['shoulder-mount-plank', 'handstand-forearm-bow-and-arrow', 'handstand-forearm-pencil', 'shoulder-mount-hangman']","[5.648803615034646e-14, 2.6424662833786934e-14, 3.029821739141524e-14, 2.1110021098469377e-14]","['shoulder-mount-plank', 'split-grip-inverted-pencil', 'baseball-back-support-grip-foward-pike', 'shoulder-mount-princess-grip-straddle']","[20.93703271768085, 10.137206534600042, 16.957442948386458, 3.6621633478638462]","['shoulder-mount-plank', 'handstand-forearm-pencil', 'thigh-hold-crescent-moon', 'shoulder-mount-hangman']","[168.16423495115552, 112.4227011533423, 105.45604241257924, 188.95569482563084]","['shoulder-mount-plank', 'shoulder-mount-kick', 'shoulder-mount-pencil', 'baseball-back-support-grip-foward-pike']","[41.23260107936219, 27.437270906891644, 32.1225492574004, 9.275995536734046]"
leg-hang-gemini,"['leg-hang-gemini', 'elbow-grip-fang', 'leg-hang-gemini-foot-hold', 'fang-bracket-grip']","[2.7979371982810087e-14, 2.6857895108413197e-14, 2.3622688329333105e-14, 4.15198134598743e-14]","['leg-hang-gemini', 'leg-hang-scorpion', 'knee-hold-genie-release', 'leg-hang-gemini-foot-hold']","[16.569047895976798, 11.003644180386308, 11.439073578006417, 13.781807489497057]","['leg-hang-gemini', 'leg-hang-gemini-foot-hold', 'knee-hold-one-knee-genie', 'leg-hang-needle']","[93.71201189031049, 111.09115616035237, 92.21687404041596, 102.66819805473871]","['leg-hang-gemini', 'reverse-grab-attitude', 'leg-hang-gemini-foot-hold', 'knee-hold-genie-release']","[25.915416388393787, 24.783457448678625, 25.919617555251335, 34.130803981454214]"
fang-bracket-grip,"['fang-bracket-grip', 'superman-scissors', 'flag-grip-straddle', 'hook-knee-one-hand']","[3.7240956406726e-14, 2.298384885040501e-14, 2.7868278698607524e-14, 3.2249739288835284e-14]","['fang-bracket-grip', 'superman-scissors', 'flag-grip-straddle', 'knee-hook-front']","[14.790397642837439, 7.349117073863222, 4.1461033137308325, 9.627600720661144]","['fang-bracket-grip', 'flag-grip-straddle', 'strong-hold-inverted-split', 'reverse-grab-straddle']","[112.78809306673263, 65.86104564583503, 93.20978734361363, 85.71282763800431]","['fang-bracket-grip', 'reverse-grab-straddle', 'flag-grip-straddle', 'shoulder-mount-lock']","[25.971408063068203, 11.768468186837127, 10.178400915465906, 25.629821465720788]"
