label,logr_classes,logr_distances,gini_classes,gini_distances,permutation_classes,permutation_distances,shap_classes,shap_distances
elbow-grip-seated,"['elbow-grip-seated', 'hook-knee-two-hands', 'outside-knee-hook-inverted', 'stomach-hold-inverted-tuck']","[2.433913228595476e-14, 6.640533800276072e-14, 1.7487571150438096e-14, 6.098806993747656e-14]","['elbow-grip-seated', 'knee-hold-genie', 'hook-knee-two-hands', 'outside-knee-hook-inverted']","[5.694707568386835, 25.329505032171397, 19.12383416924172, 17.72035143599639]","['elbow-grip-seated', 'stomach-hold-inverted-tuck', 'shoulder-mount-tuck', 'hook-knee-two-hands']","[66.92402675781881, 163.7798339002006, 175.25170688107477, 154.8693896185987]","['elbow-grip-seated', 'knee-hold-bridge', 'knee-hold-remi-sit', 'stomach-hold-inverted-tuck']","[11.003048379717699, 41.06761292764411, 27.347169953097023, 28.010766736076587]"
split-grip-tucked-spin,"['split-grip-tucked-spin', 'elbow-grip-seated', 'strong-hold-inverted-tuck', 'fireman-half-pike']","[1.9966274566826484e-14, 5.379124762246076e-14, 4.158178806609392e-14, 4.8214246350780686e-14]","['split-grip-tucked-spin', 'knee-hold-remi-sit-release', 'fireman-half-pike', 'chair-passe']","[4.364077720324211, 23.402060190023015, 16.566156456754857, 25.02234721906212]","['split-grip-tucked-spin', 'strong-hold-inverted-tuck', 'elbow-grip-seated', 'fireman-half-pike']","[58.01031180609427, 180.1212211959635, 167.98317559755185, 126.99074060709545]","['split-grip-tucked-spin', 'elbow-grip-seated', 'fireman-seat', 'fireman-half-pike']","[7.997139629405079, 46.57664060754083, 43.09308656625021, 22.19476257166927]"
reverse-grab-pencil,"['reverse-grab-pencil', 'shoulder-mount-princess-grip-straddle', 'armpit-hold-forward-pike', 'elbow-grip-inverted-ayesha']","[5.678831654683917e-14, 4.5521138187995924e-14, 3.512198215900105e-14, 2.3207307297167593e-14]","['reverse-grab-pencil', 'shoulder-mount-jack-knife', 'stomach-hold-inverted-pike', 'elbow-grip-inverted-ayesha']","[21.182471114954794, 15.804040351619712, 15.216259535454581, 12.181476625813758]","['reverse-grab-pencil', 'shoulder-mount-princess-grip-straddle', 'knee-hold-cupid', 'thigh-hold-crescent-moon']","[170.81470453085907, 126.11748130556587, 129.5123362134633, 87.69814591559395]","['reverse-grab-pencil', 'shoulder-mount-jack-knife', 'handstand-forearm-pencil', 'split-grip-pencil']","[42.53376719585332, 30.953602239013733, 32.490529221920404, 34.38911297841777]"
stomach-hold-inverted-tuck,"['stomach-hold-inverted-tuck', 'shoulder-mount-tuck', 'baseball-back-support-grip-tuck', 'shoulder-mount-attitude']","[2.2796583177576018e-14, 1.8089041696515113e-14, 3.594526359370394e-14, 1.4562288722488274e-14]","['stomach-hold-inverted-tuck', 'shoulder-mount-tuck', 'baseball-back-support-grip-tuck', 'leg-hang-scorpion-hold']","[9.767344014231318, 8.902659637983506, 12.457270353427365, 21.39345354283049]","['stomach-hold-inverted-tuck', 'shoulder-mount-tuck', 'baseball-back-support-grip-tuck', 'knee-hold-bridge']","[74.82385767868506, 61.85757526068319, 149.96124323538925, 130.83971706032014]","['stomach-hold-inverted-tuck', 'baseball-back-support-grip-tuck', 'handstand-tucked', 'shoulder-mount-tuck']","[14.111182910340881, 11.716882665619087, 14.345022904597887, 40.344520788225324]"
strong-hold-inverted-straddle,"['strong-hold-inverted-straddle', 'flag-grip-straddle', 'iguana-grip-bow-and-arrow', 'forearm-grip-inverted-pencil']","[4.052981294135128e-14, 2.5622491341983873e-14, 1.3021656915954313e-14, 1.4059720364148681e-14]","['strong-hold-inverted-straddle', 'strong-hold-side-split', 'iguana-grip-bow-and-arrow', 'leg-hang-scorpion-flatliner']","[20.340867625660536, 7.723089194783051, 5.896284352504751, 18.081021065041206]","['strong-hold-inverted-straddle', 'reverse-grab-straddle', 'shoulder-mount-lock', 'strong-hold-inverted-split']","[124.22990931967753, 71.33287075841429, 97.7600227331337, 92.93333784620842]","['strong-hold-inverted-straddle', 'armpit-hold-dart', 'reverse-grab-straddle', 'shoulder-mount-lock']","[34.542509961511534, 14.841981578736668, 17.306152910362474, 14.205135242217594]"
handstand-tucked,"['handstand-tucked', 'outside-knee-hook-inverted', 'stomach-hold-inverted-tuck', 'hook-knee-two-hands']","[2.3508470915944434e-14, 5.657591095865856e-14, 5.318402865480202e-14, 5.163671826199411e-14]","['handstand-tucked', 'fireman-hollywood', 'leg-hang-scorpion-hold', 'knee-hold-genie-release']","[11.919767029495306, 20.96504936903224, 6.922238387029233, 5.040478280925538]","['handstand-tucked', 'hook-knee-two-hands', 'knee-hold-genie-release', 'shoulder-mount-tuck']","[83.64964039693503, 144.74539945935086, 104.93943369880525, 117.68307772570937]","['handstand-tucked', 'knee-hold-daredevil', 'armpit-hold-seated', 'knee-hold-genie-release']","[19.248920619343963, 34.06188554980209, 21.663309778011858, 33.07211779972178]"
fireman-seat,"['fireman-seat', 'armpit-hold-seated', 'fireman-half-pike', 'knee-hold-remi-sit']","[8.325013005336257e-15, 4.3090276638164153e-14, 3.478952705030493e-14, 4.006215893790159e-14]","['fireman-seat', 'knee-hold-marley', 'strong-hold-inverted-tuck', 'knee-hold-genie']","[3.7295037581238644, 17.485783235286988, 19.25433912402325, 15.307864243931162]","['fireman-seat', 'knee-hold-remi-sit', 'chair-seated', 'knee-hold-genie']","[30.5453040289374, 164.1198357450886, 125.86955714386255, 166.4718362199309]","['fireman-seat', 'knee-hold-genie', 'knee-hold-bridge', 'knee-hold-remi-sit']","[7.926606221324989, 41.03442701029627, 41.90162950635911, 5.389497329946697]"
superman-armpit-grip,"['superman-armpit-grip', 'handstand-pole', 'split-grip-backward-split', 'shoulder-mount-straddle']","[4.284353210382767e-14, 2.8025879450656266e-14, 4.001180433297352e-14, 1.9852142480655617e-14]","['superman-armpit-grip', 'handstand-pole', 'forearm-grip-inverted-pencil', 'split-grip-side-spin']","[16.701420298807392, 10.565801350932437, 14.571091827394774, 7.224538523449787]","['superman-armpit-grip', 'handstand-pole', 'split-grip-backward-split', 'iguana-grip-bow-and-arrow']","[135.65971117416981, 80.51526126556935, 87.26952310310605, 56.38706391994595]","['superman-armpit-grip', 'elbow-grip-straddle', 'shoulder-mount-hangman', 'forearm-grip-inverted-pencil']","[34.40316617497301, 20.20011116676818, 28.071222043614302, 9.174224488197284]"
shoulder-mount-hangman,"['shoulder-mount-hangman', 'split-grip-side-spin', 'handstand-forearm-bow-and-arrow', 'shoulder-mount-straddle']","[4.565256740959584e-14, 1.652421038586049e-14, 2.410932204744747e-14, 2.8339805415231632e-14]","['shoulder-mount-hangman', 'forearm-grip-pencil', 'baseball-back-support-grip-foward-pike', 'shoulder-mount-straddle']","[16.1222409228901, 7.87648771683861, 4.742014202966558, 5.9001915490751236]","['shoulder-mount-hangman', 'baseball-back-support-grip-foward-pike', 'elbow-grip-straddle', 'stomach-hold-inverted-pike']","[149.67345948710644, 61.01529267205351, 81.79992256170455, 51.24906057265562]","['shoulder-mount-hangman', 'superman-armpit-grip', 'baseball-back-support-grip-foward-pike', 'forearm-grip-inverted-pencil']","[33.88397290115393, 10.259889534508176, 20.968795416294242, 27.726590104467196]"
shoulder-mount-plank-passe-hold,"['shoulder-mount-plank-passe-hold', 'handstand-forearm-attitude', 'leg-hang-scorpion-hold', 'shoulder-mount']","[3.867191209580892e-14, 4.191536337282017e-14, 3.4511289813129685e-14, 2.787974525620772e-14]","['shoulder-mount-plank-passe-hold', 'shoulder-mount', 'handstand-forearm-attitude', 'reverse-grab-attitude']","[18.910038619469336, 21.13194111914932, 13.346491083003016, 12.79911099832485]","['shoulder-mount-plank-passe-hold', 'shoulder-mount', 'shoulder-mount-pencil', 'handstand-bridged']","[161.77646551006103, 153.2674748945293, 80.4414845364652, 95.52822684677007]","['shoulder-mount-plank-passe-hold', 'shoulder-mount-pencil', 'handstand-bridged', 'split-grip-backward-split']","[39.7178531546213, 39.630789147935644, 18.314922812584378, 20.716767093495175]"
